ProductName,Year,Month,UnitsSold
Actiflor,2024,1,5434
Actiflor,2024,2,5070
Actiflor,2024,3,8566
Actiflor,2024,4,10897
Actiflor,2024,5,17193
Actiflor,2024,6,10400
Actiflor,2024,7,8177
Actiflor,2024,8,10838
Actiflor,2024,9,10063
Actiflor,2024,10,7427
Actiflor,2024,11,4393
Actiflor,2024,12,3891
Actiflor,2025,1,5419
Actiflor,2025,2,7540
Actiflor,2025,3,6742
Actiflor,2025,4,10508
Actiflor,2025,5,8962
Actiflor,2025,6,6217
Actiflor,2025,7,8185
Actiflor,2025,8,7900
Actiflor,2025,9,6857
Actiflor,2025,10,3296
Actiflor,2025,11,3047
Actiflor,2025,12,3058
Actiflor,2026,1,2032
Actiflor,2026,2,537
Actnise,2024,1,11792
Actnise,2024,2,6325
Actnise,2024,3,7193
Actnise,2024,4,7211
Actnise,2024,5,8938
Actnise,2024,6,5089
Actnise,2024,7,758
Actnise,2024,8,72
Actnise,2024,9,-427
Actnise,2024,10,12424
Actnise,2024,11,12604
Actnise,2024,12,8075
Actnise,2025,1,7826
Actnise,2025,2,7222
Actnise,2025,3,5882
Actnise,2025,4,7577
Actnise,2025,5,8262
Actnise,2025,6,8900
Actnise,2025,7,11912
Actnise,2025,8,10852
Actnise,2025,9,17313
Actnise,2025,10,13891
Actnise,2025,11,8999
Actnise,2025,12,10921
Actnise,2026,1,6798
Actnise,2026,2,421
Ad Folic,2024,1,25367
Ad Folic,2024,2,25906
Ad Folic,2024,3,26409
Ad Folic,2024,4,25463
Ad Folic,2024,5,29762
Ad Folic,2024,6,26944
Ad Folic,2024,7,28986
Ad Folic,2024,8,28261
Ad Folic,2024,9,26717
Ad Folic,2024,10,28284
Ad Folic,2024,11,25221
Ad Folic,2024,12,25305
Ad Folic,2025,1,27610
Ad Folic,2025,2,28528
Ad Folic,2025,3,27565
Ad Folic,2025,4,29925
Ad Folic,2025,5,32569
Ad Folic,2025,6,29051
Ad Folic,2025,7,34855
Ad Folic,2025,8,32242
Ad Folic,2025,9,30430
Ad Folic,2025,10,29270
Ad Folic,2025,11,29042
Ad Folic,2025,12,31162
Ad Folic,2026,1,29421
Ad Folic,2026,2,6647
Ad Folic OD,2024,1,31389
Ad Folic OD,2024,2,26780
Ad Folic OD,2024,3,34311
Ad Folic OD,2024,4,33623
Ad Folic OD,2024,5,37601
Ad Folic OD,2024,6,35318
Ad Folic OD,2024,7,37457
Ad Folic OD,2024,8,38285
Ad Folic OD,2024,9,37584
Ad Folic OD,2024,10,38333
Ad Folic OD,2024,11,37498
Ad Folic OD,2024,12,37147
Ad Folic OD,2025,1,39552
Ad Folic OD,2025,2,39420
Ad Folic OD,2025,3,38948
Ad Folic OD,2025,4,42305
Ad Folic OD,2025,5,43985
Ad Folic OD,2025,6,41330
Ad Folic OD,2025,7,48255
Ad Folic OD,2025,8,45746
Ad Folic OD,2025,9,46824
Ad Folic OD,2025,10,44641
Ad Folic OD,2025,11,42965
Ad Folic OD,2025,12,45662
Ad Folic OD,2026,1,43559
Ad Folic OD,2026,2,9220
Ad-D Chewable,2024,1,1804
Ad-D Chewable,2024,2,2184
Ad-D Chewable,2024,3,1289
Ad-D Chewable,2024,4,1237
Ad-D Chewable,2024,5,901
Ad-D Chewable,2024,6,1274
Ad-D Chewable,2024,7,2470
Ad-D Chewable,2024,8,2228
Ad-D Chewable,2024,9,2449
Ad-D Chewable,2024,10,2621
Ad-D Chewable,2024,11,2370
Ad-D Chewable,2024,12,2778
Ad-D Chewable,2025,1,2694
Ad-D Chewable,2025,2,2515
Ad-D Chewable,2025,3,2161
Ad-D Chewable,2025,4,2560
Ad-D Chewable,2025,5,2906
Ad-D Chewable,2025,6,2336
Ad-D Chewable,2025,7,3149
Ad-D Chewable,2025,8,3245
Ad-D Chewable,2025,9,2643
Ad-D Chewable,2025,10,2619
Ad-D Chewable,2025,11,2276
Ad-D Chewable,2025,12,2332
Ad-D Chewable,2026,1,1938
Ad-D Chewable,2026,2,624
Agoviz,2024,1,4870
Agoviz,2024,2,4693
Agoviz,2024,3,4808
Agoviz,2024,4,4571
Agoviz,2024,5,4691
Agoviz,2024,6,4560
Agoviz,2024,7,5221
Agoviz,2024,8,5331
Agoviz,2024,9,5413
Agoviz,2024,10,5930
Agoviz,2024,11,5625
Agoviz,2024,12,5503
Agoviz,2025,1,5916
Agoviz,2025,2,5245
Agoviz,2025,3,4943
Agoviz,2025,4,5274
Agoviz,2025,5,5521
Agoviz,2025,6,4846
Agoviz,2025,7,5247
Agoviz,2025,8,5525
Agoviz,2025,9,5265
Agoviz,2025,10,6319
Agoviz,2025,11,5246
Agoviz,2025,12,5771
Agoviz,2026,1,5805
Agoviz,2026,2,1398
Aircare,2024,1,2009
Aircare,2024,2,2085
Aircare,2024,3,4079
Aircare,2024,4,3710
Aircare,2024,5,1938
Aircare,2024,6,1329
Aircare,2024,7,879
Aircare,2024,8,656
Aircare,2024,9,361
Aircare,2024,10,117
Aircare,2024,11,71
Aircare,2024,12,99
Aircare,2025,1,115
Aircare,2025,2,50
Aircare,2025,3,40
Aircare,2025,4,10
Aircare,2025,5,24
Aircare,2025,6,28
Aircare,2025,7,-3
Aircare,2025,8,2
Aircare,2025,9,-5
Aircare,2025,10,-121
Aircare,2025,11,-23
Aircare,2025,12,-3
Aircare Plus,2024,5,252
Aircare Plus,2024,6,2477
Aircare Plus,2024,7,797
Aircare Plus,2024,8,5168
Aircare Plus,2024,9,1610
Aircare Plus,2024,10,6359
Aircare Plus,2024,11,2028
Aircare Plus,2024,12,6218
Aircare Plus,2025,1,2417
Aircare Plus,2025,2,7402
Aircare Plus,2025,3,1871
Aircare Plus,2025,4,2429
Aircare Plus,2025,5,5496
Aircare Plus,2025,6,1457
Aircare Plus,2025,7,2285
Aircare Plus,2025,8,7152
Aircare Plus,2025,9,2278
Aircare Plus,2025,10,6794
Aircare Plus,2025,11,3437
Aircare Plus,2025,12,6011
Aircare Plus,2026,1,2794
Aircare Plus,2026,2,598
Aireez,2024,1,22560
Aireez,2024,2,21915
Aireez,2024,3,22656
Aireez,2024,4,20957
Aireez,2024,5,22546
Aireez,2024,6,16647
Aireez,2024,7,17598
Aireez,2024,8,18642
Aireez,2024,9,23594
Aireez,2024,10,27788
Aireez,2024,11,30224
Aireez,2024,12,31009
Aireez,2025,1,30929
Aireez,2025,2,28544
Aireez,2025,3,24981
Aireez,2025,4,24795
Aireez,2025,5,24631
Aireez,2025,6,18264
Aireez,2025,7,21095
Aireez,2025,8,23141
Aireez,2025,9,25497
Aireez,2025,10,33330
Aireez,2025,11,34365
Aireez,2025,12,35217
Aireez,2026,1,31703
Aireez,2026,2,6958
ANEX,2024,7,-1
Anex-M,2024,1,2263
Anex-M,2024,2,4425
Anex-M,2024,3,3770
Anex-M,2024,4,3541
Anex-M,2024,5,4056
Anex-M,2024,6,3493
Anex-M,2024,7,3875
Anex-M,2024,8,3555
Anex-M,2024,9,3410
Anex-M,2024,10,1950
Anex-M,2024,11,704
Anex-M,2024,12,243
Anex-M,2025,1,4804
Anex-M,2025,2,3371
Anex-M,2025,3,2951
Anex-M,2025,4,3004
Anex-M,2025,5,3083
Anex-M,2025,6,2645
Anex-M,2025,7,2927
Anex-M,2025,8,2866
Anex-M,2025,9,2653
Anex-M,2025,10,2298
Anex-M,2025,11,2577
Anex-M,2025,12,2027
Anex-M,2026,1,382
Anex-M,2026,2,112
Anplag,2024,1,14271
Anplag,2024,2,14286
Anplag,2024,3,15400
Anplag,2024,4,15006
Anplag,2024,5,16478
Anplag,2024,6,14909
Anplag,2024,7,17870
Anplag,2024,8,17910
Anplag,2024,9,17528
Anplag,2024,10,20128
Anplag,2024,11,19040
Anplag,2024,12,20763
Anplag,2025,1,22745
Anplag,2025,2,20707
Anplag,2025,3,22828
Anplag,2025,4,22261
Anplag,2025,5,25312
Anplag,2025,6,23357
Anplag,2025,7,27727
Anplag,2025,8,27766
Anplag,2025,9,29738
Anplag,2025,10,30670
Anplag,2025,11,30239
Anplag,2025,12,34815
Anplag,2026,1,36451
Anplag,2026,2,9583
Arbi,2024,1,13189
Arbi,2024,2,12504
Arbi,2024,3,12210
Arbi,2024,4,11455
Arbi,2024,5,12030
Arbi,2024,6,11496
Arbi,2024,7,11412
Arbi,2024,8,11516
Arbi,2024,9,11430
Arbi,2024,10,11814
Arbi,2024,11,11288
Arbi,2024,12,11320
Arbi,2025,1,12568
Arbi,2025,2,11351
Arbi,2025,3,12394
Arbi,2025,4,11263
Arbi,2025,5,12161
Arbi,2025,6,11238
Arbi,2025,7,12403
Arbi,2025,8,12162
Arbi,2025,9,11432
Arbi,2025,10,11681
Arbi,2025,11,11002
Arbi,2025,12,12485
Arbi,2026,1,11700
Arbi,2026,2,3360
Arbi-A,2024,3,5778
Arbi-A,2024,4,1557
Arbi-A,2024,5,2251
Arbi-A,2024,6,2126
Arbi-A,2024,7,2878
Arbi-A,2024,8,3752
Arbi-A,2024,9,3546
Arbi-A,2024,10,4471
Arbi-A,2024,11,4698
Arbi-A,2024,12,4944
Arbi-A,2025,1,4378
Arbi-A,2025,2,5086
Arbi-A,2025,3,4802
Arbi-A,2025,4,4300
Arbi-A,2025,5,4152
Arbi-A,2025,6,3562
Arbi-A,2025,7,3858
Arbi-A,2025,8,3547
Arbi-A,2025,9,2578
Arbi-A,2025,10,2578
Arbi-A,2025,11,1544
Arbi-A,2025,12,3279
Arbi-A,2026,1,4334
Arbi-A,2026,2,1085
Arbi-D,2024,1,21245
Arbi-D,2024,2,19035
Arbi-D,2024,3,20061
Arbi-D,2024,4,17197
Arbi-D,2024,5,21281
Arbi-D,2024,6,20054
Arbi-D,2024,7,18648
Arbi-D,2024,8,20084
Arbi-D,2024,9,19452
Arbi-D,2024,10,20279
Arbi-D,2024,11,19309
Arbi-D,2024,12,20184
Arbi-D,2025,1,20724
Arbi-D,2025,2,20394
Arbi-D,2025,3,21242
Arbi-D,2025,4,19735
Arbi-D,2025,5,21408
Arbi-D,2025,6,20010
Arbi-D,2025,7,21773
Arbi-D,2025,8,20882
Arbi-D,2025,9,21792
Arbi-D,2025,10,21794
Arbi-D,2025,11,20801
Arbi-D,2025,12,22748
Arbi-D,2026,1,21832
Arbi-D,2026,2,6526
Avsar,2024,1,264555
Avsar,2024,2,264741
Avsar,2024,3,285131
Avsar,2024,4,273608
Avsar,2024,5,266690
Avsar,2024,6,260826
Avsar,2024,7,278985
Avsar,2024,8,290016
Avsar,2024,9,288063
Avsar,2024,10,304105
Avsar,2024,11,301087
Avsar,2024,12,315924
Avsar,2025,1,342270
Avsar,2025,2,330186
Avsar,2025,3,352044
Avsar,2025,4,320887
Avsar,2025,5,326758
Avsar,2025,6,323507
Avsar,2025,7,348334
Avsar,2025,8,335920
Avsar,2025,9,349670
Avsar,2025,10,357466
Avsar,2025,11,350728
Avsar,2025,12,389464
Avsar,2026,1,400885
Avsar,2026,2,117101
Avsar Plus,2024,1,85709
Avsar Plus,2024,2,83520
Avsar Plus,2024,3,90627
Avsar Plus,2024,4,84839
Avsar Plus,2024,5,88840
Avsar Plus,2024,6,80147
Avsar Plus,2024,7,81711
Avsar Plus,2024,8,97178
Avsar Plus,2024,9,93962
Avsar Plus,2024,10,100023
Avsar Plus,2024,11,96342
Avsar Plus,2024,12,102184
Avsar Plus,2025,1,112924
Avsar Plus,2025,2,110076
Avsar Plus,2025,3,115036
Avsar Plus,2025,4,107382
Avsar Plus,2025,5,114278
Avsar Plus,2025,6,108096
Avsar Plus,2025,7,116453
Avsar Plus,2025,8,111599
Avsar Plus,2025,9,116826
Avsar Plus,2025,10,119847
Avsar Plus,2025,11,117981
Avsar Plus,2025,12,129854
Avsar Plus,2026,1,134456
Avsar Plus,2026,2,39063
AXIFER,2024,1,411
AXIFER,2024,2,589
AXIFER,2024,3,629
AXIFER,2024,4,821
AXIFER,2024,5,890
AXIFER,2024,6,634
AXIFER,2024,7,122
AXIFER,2024,8,0
AXIFER,2024,9,1
AXIFER,2024,10,-3
AXIFER,2024,11,-1
AXIFER,2024,12,-25
AXIFER,2025,1,-5
Azliv,2024,1,-153
Azliv,2024,2,-53
Azliv,2024,3,-35
Azliv,2024,4,-36
Azliv,2024,5,-16
Azliv,2024,6,-13
Azliv,2024,7,-6
Azliv,2024,8,-1
Azliv,2024,9,306
Azliv,2024,10,-2
Azliv,2024,11,-74
Azliv,2024,12,-172
Azliv,2025,1,-15
Azliv,2025,2,-22
Azliv,2025,3,-24
Azliv,2025,4,-1
Azliv,2025,7,-1
Azliv,2025,11,-1
BD PEN NEEDLE,2024,1,119591
BD PEN NEEDLE,2024,2,112070
BD PEN NEEDLE,2024,3,103339
BD PEN NEEDLE,2024,4,117718
BD PEN NEEDLE,2024,5,112613
BD PEN NEEDLE,2024,6,94792
BD PEN NEEDLE,2024,7,118891
BD PEN NEEDLE,2024,8,90233
BD PEN NEEDLE,2024,9,146531
BD PEN NEEDLE,2024,10,127234
BD PEN NEEDLE,2024,11,118869
BD PEN NEEDLE,2024,12,131245
BD PEN NEEDLE,2025,1,124397
BD PEN NEEDLE,2025,2,157248
BD PEN NEEDLE,2025,3,112871
BD PEN NEEDLE,2025,4,124461
BD PEN NEEDLE,2025,5,181936
BD PEN NEEDLE,2025,6,120332
BD PEN NEEDLE,2025,7,119448
BD PEN NEEDLE,2025,8,123936
BD PEN NEEDLE,2025,9,134346
BD PEN NEEDLE,2025,10,125260
BD PEN NEEDLE,2025,11,291336
BD PEN NEEDLE,2025,12,117142
BD PEN NEEDLE,2026,1,126654
BD PEN NEEDLE,2026,2,27942
BD SYRINGE - BAG,2024,1,1758721
BD SYRINGE - BAG,2024,2,1869360
BD SYRINGE - BAG,2024,3,1664190
BD SYRINGE - BAG,2024,4,1834385
BD SYRINGE - BAG,2024,5,2025868
BD SYRINGE - BAG,2024,6,1894750
BD SYRINGE - BAG,2024,7,1850245
BD SYRINGE - BAG,2024,8,979395
BD SYRINGE - BAG,2024,9,1721220
BD SYRINGE - BAG,2024,10,1888855
BD SYRINGE - BAG,2024,11,1927055
BD SYRINGE - BAG,2024,12,2363515
BD SYRINGE - BAG,2025,1,2101615
BD SYRINGE - BAG,2025,2,1659270
BD SYRINGE - BAG,2025,3,1292440
BD SYRINGE - BAG,2025,4,1618585
BD SYRINGE - BAG,2025,5,1840725
BD SYRINGE - BAG,2025,6,2096835
BD SYRINGE - BAG,2025,7,1403420
BD SYRINGE - BAG,2025,8,2021890
BD SYRINGE - BAG,2025,9,1898551
BD SYRINGE - BAG,2025,10,1763028
BD SYRINGE - BAG,2025,11,1577605
BD SYRINGE - BAG,2025,12,1863363
BD SYRINGE - BAG,2026,1,1446182
BD SYRINGE - BAG,2026,2,255820
Bempion,2025,7,3704
Bempion,2025,8,1160
Bempion,2025,9,109
Bempion,2025,10,1992
Bempion,2025,11,2226
Bempion,2025,12,2067
Bempion,2026,1,2074
Bempion,2026,2,474
BONEDOL,2024,3,-1
BONEDOL,2025,1,-1
Busonide,2024,1,21629
Busonide,2024,2,21586
Busonide,2024,3,23667
Busonide,2024,4,21095
Busonide,2024,5,23562
Busonide,2024,6,19836
Busonide,2024,7,21595
Busonide,2024,8,24616
Busonide,2024,9,27476
Busonide,2024,10,30665
Busonide,2024,11,30791
Busonide,2024,12,35671
Busonide,2025,1,37564
Busonide,2025,2,35481
Busonide,2025,3,31640
Busonide,2025,4,30109
Busonide,2025,5,30713
Busonide,2025,6,25278
Busonide,2025,7,28773
Busonide,2025,8,30098
Busonide,2025,9,31654
Busonide,2025,10,37871
Busonide,2025,11,39004
Busonide,2025,12,44200
Busonide,2026,1,40292
Busonide,2026,2,10052
Byvas,2024,1,78659
Byvas,2024,2,80378
Byvas,2024,3,83072
Byvas,2024,4,68644
Byvas,2024,5,82279
Byvas,2024,6,75793
Byvas,2024,7,83140
Byvas,2024,8,88083
Byvas,2024,9,90551
Byvas,2024,10,97056
Byvas,2024,11,95258
Byvas,2024,12,103880
Byvas,2025,1,111960
Byvas,2025,2,101302
Byvas,2025,3,111101
Byvas,2025,4,99851
Byvas,2025,5,104734
Byvas,2025,6,98147
Byvas,2025,7,113117
Byvas,2025,8,111230
Byvas,2025,9,115748
Byvas,2025,10,117252
Byvas,2025,11,112110
Byvas,2025,12,124827
Byvas,2026,1,127359
Byvas,2026,2,33452
CEFIPIME,2025,1,-1
CEFIPIME,2025,3,0
CEFIPIME,2025,12,-1
CLEAR LAX,2024,3,-1
CLEAR LAX,2024,4,-6
CLEAR LAX,2024,5,-1
Dapwiz,2024,1,23332
Dapwiz,2024,2,23309
Dapwiz,2024,3,24871
Dapwiz,2024,4,19107
Dapwiz,2024,5,25778
Dapwiz,2024,6,18337
Dapwiz,2024,7,28794
Dapwiz,2024,8,25377
Dapwiz,2024,9,22518
Dapwiz,2024,10,26289
Dapwiz,2024,11,24976
Dapwiz,2024,12,26201
Dapwiz,2025,1,27649
Dapwiz,2025,2,23129
Dapwiz,2025,3,24003
Dapwiz,2025,4,22960
Dapwiz,2025,5,24314
Dapwiz,2025,6,23605
Dapwiz,2025,7,26182
Dapwiz,2025,8,24413
Dapwiz,2025,9,25861
Dapwiz,2025,10,25731
Dapwiz,2025,11,22595
Dapwiz,2025,12,24367
Dapwiz,2026,1,24550
Dapwiz,2026,2,6501
Dapwiz Plus XR,2024,4,7222
Dapwiz Plus XR,2024,5,3647
Dapwiz Plus XR,2024,6,2028
Dapwiz Plus XR,2024,7,3862
Dapwiz Plus XR,2024,8,6014
Dapwiz Plus XR,2024,9,6439
Dapwiz Plus XR,2024,10,5824
Dapwiz Plus XR,2024,11,8040
Dapwiz Plus XR,2024,12,8099
Dapwiz Plus XR,2025,1,8005
Dapwiz Plus XR,2025,2,6584
Dapwiz Plus XR,2025,3,4011
Dapwiz Plus XR,2025,4,7795
Dapwiz Plus XR,2025,5,7228
Dapwiz Plus XR,2025,6,6134
Dapwiz Plus XR,2025,7,6980
Dapwiz Plus XR,2025,8,6099
Dapwiz Plus XR,2025,9,5431
Dapwiz Plus XR,2025,10,7965
Dapwiz Plus XR,2025,11,6067
Dapwiz Plus XR,2025,12,5488
Dapwiz Plus XR,2026,1,5800
Dapwiz Plus XR,2026,2,538
Dipof,2024,1,7703
Dipof,2024,2,8776
Dipof,2024,3,10110
Dipof,2024,4,8248
Dipof,2024,5,9749
Dipof,2024,6,8540
Dipof,2024,7,9131
Dipof,2024,8,7288
Dipof,2024,9,2800
Dipof,2024,10,13382
Dipof,2024,11,8854
Dipof,2024,12,9172
Dipof,2025,1,10127
Dipof,2025,2,10257
Dipof,2025,3,7900
Dipof,2025,4,9401
Dipof,2025,5,9740
Dipof,2025,6,8598
Dipof,2025,7,9903
Dipof,2025,8,9888
Dipof,2025,9,9981
Dipof,2025,10,10119
Dipof,2025,11,9231
Dipof,2025,12,10360
Dipof,2026,1,10532
Dipof,2026,2,3049
Diu Tansin,2024,1,9812
Diu Tansin,2024,2,8939
Diu Tansin,2024,3,9399
Diu Tansin,2024,4,8331
Diu Tansin,2024,5,8558
Diu Tansin,2024,6,7721
Diu Tansin,2024,7,8438
Diu Tansin,2024,8,8222
Diu Tansin,2024,9,7350
Diu Tansin,2024,10,8233
Diu Tansin,2024,11,7546
Diu Tansin,2024,12,8086
Diu Tansin,2025,1,8237
Diu Tansin,2025,2,7208
Diu Tansin,2025,3,8378
Diu Tansin,2025,4,7885
Diu Tansin,2025,5,8050
Diu Tansin,2025,6,7745
Diu Tansin,2025,7,8791
Diu Tansin,2025,8,8399
Diu Tansin,2025,9,8610
Diu Tansin,2025,10,8942
Diu Tansin,2025,11,8770
Diu Tansin,2025,12,9449
Diu Tansin,2026,1,8980
Diu Tansin,2026,2,2453
Duzalta,2024,1,29095
Duzalta,2024,2,27099
Duzalta,2024,3,25553
Duzalta,2024,4,24962
Duzalta,2024,5,28215
Duzalta,2024,6,25736
Duzalta,2024,7,28837
Duzalta,2024,8,33454
Duzalta,2024,9,31681
Duzalta,2024,10,32913
Duzalta,2024,11,31458
Duzalta,2024,12,30640
Duzalta,2025,1,30832
Duzalta,2025,2,30636
Duzalta,2025,3,29487
Duzalta,2025,4,31328
Duzalta,2025,5,32094
Duzalta,2025,6,29130
Duzalta,2025,7,34571
Duzalta,2025,8,32907
Duzalta,2025,9,33970
Duzalta,2025,10,32937
Duzalta,2025,11,31126
Duzalta,2025,12,33242
Duzalta,2026,1,31945
Duzalta,2026,2,7217
Eglaro,2024,1,711
Eglaro,2024,2,766
Eglaro,2024,3,572
Eglaro,2024,4,-402
Eglaro,2024,5,597
Eglaro,2024,6,462
Eglaro,2024,7,497
Eglaro,2024,8,280
Eglaro,2024,9,-44
Eglaro,2024,10,466
Eglaro,2024,11,714
Eglaro,2024,12,655
Eglaro,2025,1,686
Eglaro,2025,2,468
Eglaro,2025,3,356
Eglaro,2025,4,461
Eglaro,2025,5,500
Eglaro,2025,6,440
Eglaro,2025,7,609
Eglaro,2025,8,564
Eglaro,2025,9,632
Eglaro,2025,10,626
Eglaro,2025,11,595
Eglaro,2025,12,638
Eglaro,2026,1,713
Eglaro,2026,2,178
Eglaro-S,2024,1,9911
Eglaro-S,2024,2,9958
Eglaro-S,2024,3,11468
